owner,name,createdAt,pushedAt,isMirror,diskUsage,primaryLanguage,languages,contributors,watchers,stargazers,forks,issues,commits,pullRequests,branches,tags,releases,description
NervJS,taro,2018-04-08 09:32:26,2024-06-29 15:35:58,False,1518099,TypeScript,11,564,691,35046,4742,10892,12044,4338,82,885,176,开放式跨端跨框架解决方案，支持使用 React/Vue/Nerv 等框架来开发微信/京东/百度/支付宝/字节跳动/ QQ 小程序/H5/React Native 等应用。  https://taro.zone/
dotnet,aspnetcore,2014-03-11 06:09:42,2024-06-30 12:18:49,False,425766,C#,22,3448,1449,34777,9823,33910,53636,18187,260,270,226,"ASP.NET Core is a cross-platform .NET framework for building modern cloud-based web applications on Windows, Mac, or Linux."
xitu,gold-miner,2015-11-04 03:29:13,2024-04-17 09:44:37,False,80499,,0,562,1271,33524,5017,5591,11473,3933,1,0,0,🥇掘金翻译计划，可能是世界最大最好的英译中技术社区，最懂读者和译者的翻译平台：
rapid7,metasploit-framework,2011-08-30 06:13:20,2024-06-29 05:30:12,False,1010690,Ruby,24,2175,2043,33222,13788,5986,74280,12886,16,900,0,Metasploit Framework
jgm,pandoc,2010-03-20 20:34:23,2024-06-30 10:18:49,False,64986,Haskell,15,508,514,33133,3297,7488,17538,2024,71,226,136,Universal markup converter
netty,netty,2010-11-09 09:22:21,2024-06-28 03:13:13,False,90030,Java,9,668,1746,33039,15803,6393,11498,7546,19,282,0,Netty project - an event-driven asynchronous network application framework
ziglang,zig,2015-08-06 00:51:28,2024-06-30 11:06:17,False,277564,Zig,11,885,357,31934,2333,10794,29604,9581,26,19,18,"General-purpose programming language and toolchain for maintaining robust, optimal, and reusable software."
ray-project,ray,2016-10-25 19:38:30,2024-06-30 13:41:20,False,405899,Python,15,983,474,31899,5435,17900,22019,28148,786,95,87,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.
ccxt,ccxt,2017-05-14 15:41:56,2024-06-30 13:39:14,False,3212968,Python,13,670,929,31864,7361,9966,83336,12848,20,826,33,A JavaScript / TypeScript / Python / C# / PHP cryptocurrency trading API with support for more than 100 bitcoin/altcoin exchanges
laravel,framework,2013-01-10 21:27:28,2024-06-30 09:28:15,False,81372,PHP,6,3394,986,31788,10751,18016,37745,30078,20,1022,733,The Laravel Framework.
jellyfin,jellyfin,2018-12-09 06:36:45,2024-06-30 11:56:16,False,63265,C#,4,1099,321,31644,2892,6087,25995,4986,28,75,74,The Free Software Media System
sqlmapproject,sqlmap,2012-06-26 09:52:15,2024-06-28 22:29:06,False,83533,Python,9,126,1093,31214,5598,5188,10191,394,4,112,9,Automatic SQL injection and database takeover tool
certbot,certbot,2014-11-12 02:52:20,2024-06-21 18:34:22,False,51933,Python,11,485,750,31096,3378,5290,10947,4623,846,136,52,Certbot is EFF's tool to obtain certs from Let's Encrypt and (optionally) auto-enable HTTPS on your server.  It can also act as a client for any other CA that uses the ACME protocol.
expo,expo,2016-08-15 17:14:25,2024-06-30 13:14:55,False,3024183,TypeScript,14,1310,290,30811,4867,13924,22495,15125,533,0,0,"An open-source framework for making universal native apps with React. Expo runs on Android, iOS, and the web."
DIYgod,RSSHub,2018-04-02 14:43:21,2024-06-30 02:01:57,False,336810,TypeScript,5,1027,338,30700,6861,5324,12032,10490,14,0,0,🧡 Everything is RSSible
hashicorp,vault,2015-02-25 00:15:59,2024-06-28 22:45:17,False,285161,Go,12,2176,819,29994,4119,6052,19909,21428,2611,385,144,"A tool for secrets management, encryption as a service, and privileged access management"
SeleniumHQ,selenium,2013-01-14 21:40:56,2024-06-29 19:34:34,False,2192373,Java,20,749,1289,29731,8017,10212,31880,3848,75,225,95,A browser automation framework and ecosystem.
foundation,foundation-sites,2011-10-13 23:05:42,2024-08-05 20:16:52,False,124223,HTML,4,1039,1233,29656,5485,8221,17271,4095,31,153,78,The most advanced responsive front-end framework in the world. Quickly create prototypes and production code for sites that work on any kind of device.
cockroachdb,cockroach,2014-02-06 00:18:47,2024-06-30 13:13:44,False,2735072,Go,21,860,694,29487,3694,63295,95254,62992,71,675,0,"CockroachDB - the open source, cloud-native distributed SQL database."
symfony,symfony,2010-01-04 14:21:21,2024-06-30 10:40:35,False,280101,PHP,8,3011,1101,29460,9405,20105,70872,32969,32,761,503,The Symfony PHP framework
